trial comp/dSemi comp/dEcc 
a18_e13 1974.295062 0.403448
a18_e14 1974.295062 0.434483
a18_e15 1974.295062 0.465517
a18_e16 1974.295062 0.496552
a18_e17 1974.295062 0.527586
a18_e18 1974.295062 0.558621
a18_e19 1974.295062 0.589655
a18_e20 1974.295062 0.620690
a18_e21 1974.295062 0.651724
a18_e22 1974.295062 0.682759
a18_e23 1974.295062 0.713793
a18_e24 1974.295062 0.744828
a18_e25 1974.295062 0.775862
a18_e26 1974.295062 0.806897
a18_e27 1974.295062 0.837931
a18_e28 1974.295062 0.868966
a18_e29 1974.295062 0.900000
a19_e00 2242.102729 0.000000
a19_e01 2242.102729 0.031034
a19_e02 2242.102729 0.062069
a19_e03 2242.102729 0.093103
a19_e04 2242.102729 0.124138
a19_e05 2242.102729 0.155172
a19_e06 2242.102729 0.186207
a19_e07 2242.102729 0.217241
a19_e08 2242.102729 0.248276
a19_e09 2242.102729 0.279310
a19_e10 2242.102729 0.310345
a19_e11 2242.102729 0.341379
a19_e12 2242.102729 0.372414
a19_e13 2242.102729 0.403448
a19_e14 2242.102729 0.434483
a19_e15 2242.102729 0.465517
a19_e16 2242.102729 0.496552
a19_e17 2242.102729 0.527586
a19_e18 2242.102729 0.558621
a19_e19 2242.102729 0.589655
a19_e20 2242.102729 0.620690
a19_e21 2242.102729 0.651724
a19_e22 2242.102729 0.682759
a19_e23 2242.102729 0.713793
a19_e24 2242.102729 0.744828
a19_e25 2242.102729 0.775862
a19_e26 2242.102729 0.806897
a19_e27 2242.102729 0.837931
a19_e28 2242.102729 0.868966
a19_e29 2242.102729 0.900000
a20_e00 2546.237765 0.000000
a20_e01 2546.237765 0.031034
a20_e02 2546.237765 0.062069
a20_e03 2546.237765 0.093103
a20_e04 2546.237765 0.124138
a20_e05 2546.237765 0.155172
a20_e06 2546.237765 0.186207
a20_e07 2546.237765 0.217241
a20_e08 2546.237765 0.248276
a20_e09 2546.237765 0.279310
a20_e10 2546.237765 0.310345
a20_e11 2546.237765 0.341379
a20_e12 2546.237765 0.372414
